pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"7,22,10,8,17",5,0.1,0.506632,0.505982,0.000651,0.690055,0.687767,0.002288,1.427942,1.441784,700.308790,693.585225,5.816748,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_10_8_17_amt_0p10/yolo26n_l1_combo_7_22_10_8_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_10_8_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,10",3,0.2,0.506632,0.507047,-0.000415,0.690055,0.689564,0.000491,1.397286,1.383245,715.673311,722.937948,5.799752,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_amt_0p20/yolo26n_l1_combo_20_7_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,8,17",3,0.2,0.506632,0.505509,0.001123,0.690055,0.688887,0.001168,1.297830,1.314846,770.516776,760.545213,5.686667,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_8_17_amt_0p20/yolo26n_l1_combo_7_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22,10,8",4,0.1,0.506632,0.506145,0.000488,0.690055,0.687857,0.002198,1.291390,1.279135,774.359487,781.778516,5.661678,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_10_8_amt_0p10/yolo26n_l1_combo_7_22_10_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_10_8_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,17",3,0.2,0.506632,0.506714,-0.000081,0.690055,0.689660,0.000395,1.320863,1.360311,757.080678,735.126162,5.420615,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_17_amt_0p20/yolo26n_l1_combo_20_22_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,8,17",5,0.1,0.506632,0.506176,0.000456,0.690055,0.688635,0.001421,1.350405,1.339250,740.518704,746.686312,5.398318,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_8_17_amt_0p10/yolo26n_l1_combo_20_7_22_8_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_8_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,8",2,0.2,0.506632,0.505720,0.000912,0.690055,0.688853,0.001202,1.360021,1.260725,735.282969,793.194534,5.376484,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_8_amt_0p20/yolo26n_l1_combo_7_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"10,8,17",3,0.2,0.506632,0.505126,0.001506,0.690055,0.685942,0.004113,1.368458,1.317417,730.749623,759.060914,5.282836,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_8_17_amt_0p20/yolo26n_l1_combo_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,8",4,0.1,0.506632,0.506494,0.000138,0.690055,0.688891,0.001164,1.303186,1.328976,767.349948,752.459302,5.243248,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_8_amt_0p10/yolo26n_l1_combo_20_7_22_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_8_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10,8,17",5,0.1,0.506632,0.505901,0.000731,0.690055,0.687554,0.002501,1.336354,1.339738,748.304636,746.414779,5.196424,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_22_10_8_17_amt_0p10/yolo26n_l1_combo_20_22_10_8_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_22_10_8_17_amt_0p10/unstructured_pruning_summary.csv
