step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
138,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
138,5,DG010,model.16.cv2.conv,52,9.778421401977539,64,32,would prune protected output root model.23.cv3.0.0.0.conv
139,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
139,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
139,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
139,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
139,5,DG010,model.16.cv2.conv,52,9.778421401977539,64,32,would prune protected output root model.23.cv3.0.0.0.conv
140,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
140,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
140,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
140,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
140,5,DG010,model.16.cv2.conv,52,9.778421401977539,64,32,would prune protected output root model.23.cv3.0.0.0.conv
141,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
141,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
141,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
141,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
141,5,DG010,model.16.cv2.conv,52,9.778421401977539,64,32,would prune protected output root model.23.cv3.0.0.0.conv
142,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
142,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
142,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
142,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
142,5,DG010,model.16.cv2.conv,52,9.778421401977539,64,32,would prune protected output root model.23.cv3.0.0.0.conv
143,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
143,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
143,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
143,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
