step,operation_index,selected_group_id,selected_root_module,module_name,module_type,handler,is_out_channel_prune,index_count,indices,current_out_channels,projected_out_channels
138,14,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,7,,
138,15,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,7,17,16
139,1,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,6,25,24
139,2,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,6,,
139,3,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
139,4,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
139,5,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,6,,
139,6,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
139,7,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
139,8,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,6,,
139,9,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
139,10,DG032,model.6.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,6,,
139,11,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,6,,
139,12,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,6,,
139,13,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,6,25,24
139,14,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,6,,
139,15,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,6,25,24
140,1,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,0,24,23
140,2,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,0,,
140,3,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,0,,
140,4,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,0,,
140,5,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,0,,
140,6,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,0,,
140,7,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,0,,
140,8,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,0,,
140,9,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,0,,
140,10,DG032,model.6.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,0,,
140,11,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,0,,
140,12,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,0,,
140,13,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,0,24,23
140,14,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,0,,
140,15,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,0,24,23
141,1,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,10,23,22
141,2,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,10,,
141,3,DG033,model.6.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,10,,
141,4,DG033,model.6.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,33,,
141,5,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,33,,
142,1,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,16,22,21
142,2,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,16,,
142,3,DG033,model.6.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
142,4,DG033,model.6.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,39,,
142,5,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,39,,
143,1,DG006,model.13.m.0.cv1.conv,model.13.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,21,27,26
143,2,DG006,model.13.m.0.cv1.conv,model.13.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,21,,
143,3,DG006,model.13.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
