group_id,root,current_channel_index,raw_l1_sum,rejected_lower_scoring_candidates,parameters_before,parameters_removed,parameters_after,dependency_operation_count,step,reduction_percent
DG005,model.13.cv2.conv,19,30.595474243164062,31,1315431,386,1315045,8,2002,47.567870371477895
DG031,model.6.cv2.conv,22,30.60858154296875,31,1315045,2626,1312419,6,2003,47.67257155843689
DG016,model.19.cv2.conv,19,30.620628356933594,31,1312419,1766,1310653,14,2004,47.742983704731486
DG023,model.20.conv,33,30.51776695251465,31,1310653,555,1310098,5,2005,47.765112097253294
DG031,model.6.cv2.conv,11,30.623966217041016,31,1310098,2626,1307472,6,2006,47.86981328421229
DG031,model.6.cv2.conv,3,30.62649917602539,31,1307472,2626,1304846,6,2007,47.97451447117129
DG005,model.13.cv2.conv,59,30.63671112060547,31,1304846,386,1304460,8,2008,47.989904668492755
DG031,model.6.cv2.conv,40,30.65960693359375,31,1304460,2626,1301834,6,2009,48.09460585545175
DG016,model.19.cv2.conv,0,30.666067123413086,31,1301834,1757,1300077,14,2010,48.164659162948695
DG031,model.6.cv2.conv,40,30.67938804626465,31,1300077,2626,1297451,6,2011,48.2693603499077
DG031,model.6.cv2.conv,25,30.684274673461914,31,1297451,2626,1294825,6,2012,48.3740615368667
DG005,model.13.cv2.conv,58,30.6978816986084,31,1294825,386,1294439,8,2013,48.38945173418817
DG005,model.13.cv2.conv,42,30.728527069091797,31,1294439,386,1294053,8,2014,48.40484193150964
DG005,model.13.cv2.conv,27,30.729467391967773,31,1294053,386,1293667,8,2015,48.420232128831096
DG005,model.13.cv2.conv,49,30.733234405517578,31,1293667,386,1293281,8,2016,48.43562232615257
DG005,model.13.cv2.conv,42,30.74807357788086,31,1293281,386,1292895,8,2017,48.451012523474034
DG031,model.6.cv2.conv,7,30.761682510375977,31,1292895,2626,1290269,6,2018,48.55571371043303
DG016,model.19.cv2.conv,2,30.762460708618164,31,1290269,1757,1288512,14,2019,48.625767017929974
DG023,model.20.conv,32,30.09639549255371,31,1288512,537,1287975,5,2020,48.64717773285647
DG023,model.20.conv,101,30.617431640625,31,1287975,537,1287438,5,2021,48.66858844778298
DG031,model.6.cv2.conv,29,30.766387939453125,31,1287438,2626,1284812,6,2022,48.77328963474198
DG005,model.13.cv2.conv,48,30.78596305847168,31,1284812,386,1284426,8,2023,48.788679832063444
DG031,model.6.cv2.conv,24,30.789335250854492,31,1284426,2626,1281800,6,2024,48.89338101902244
DG031,model.6.cv2.conv,14,30.796926498413086,31,1281800,2626,1279174,6,2025,48.99808220598144
DG031,model.6.cv2.conv,21,30.819194793701172,31,1279174,2626,1276548,6,2026,49.10278339294044
DG036,model.7.conv,118,30.127208709716797,31,1276548,564,1275984,4,2027,49.1252706242599
DG031,model.6.cv2.conv,32,30.823698043823242,31,1275984,2617,1273367,6,2028,49.22961297242124
DG036,model.7.conv,71,30.79416275024414,31,1273367,555,1272812,4,2029,49.251741364943044
DG031,model.6.cv2.conv,22,30.828777313232422,31,1272812,2608,1270204,6,2030,49.35572487430674
DG036,model.7.conv,60,29.65245819091797,31,1270204,546,1269658,4,2031,49.377494428030886
DG036,model.7.conv,81,30.308820724487305,31,1269658,546,1269112,4,2032,49.399263981755034
DG031,model.6.cv2.conv,31,30.8330135345459,31,1269112,2590,1266522,6,2033,49.50252981352343
DG036,model.7.conv,158,30.74297523498535,31,1266522,537,1265985,4,2034,49.52394052844994
DG031,model.6.cv2.conv,25,30.834514617919922,31,1265985,2581,1263404,6,2035,49.62684752142068
DG036,model.7.conv,2,30.427242279052734,31,1263404,528,1262876,4,2036,49.64789939754953
DG036,model.7.conv,66,30.809255599975586,31,1262876,528,1262348,4,2037,49.668951273678374
DG005,model.13.cv2.conv,12,30.842866897583008,31,1262348,386,1261962,8,2038,49.68434147099985
DG005,model.13.cv2.conv,25,30.865703582763672,31,1261962,386,1261576,8,2039,49.69973166832131
DG031,model.6.cv2.conv,15,30.869098663330078,31,1261576,2563,1259013,6,2040,49.80192098369676
DG036,model.7.conv,75,29.954517364501953,31,1259013,519,1258494,4,2041,49.82261402102795
DG036,model.7.conv,102,29.997825622558594,31,1258494,519,1257975,4,2042,49.84330705835915
DG036,model.7.conv,34,30.589710235595703,31,1257975,519,1257456,4,2043,49.86400009569034
DG036,model.7.conv,91,30.70196533203125,31,1257456,519,1256937,4,2044,49.88469313302154
DG005,model.13.cv2.conv,47,30.8747615814209,31,1256937,386,1256551,8,2045,49.900083330343016
DG005,model.13.cv2.conv,29,30.876266479492188,31,1256551,386,1256165,8,2046,49.915473527664474
DG005,model.13.cv2.conv,20,30.88249969482422,31,1256165,386,1255779,8,2047,49.93086372498594
DG005,model.13.cv2.conv,25,30.922460556030273,31,1255779,386,1255393,8,2048,49.94625392230741
DG005,model.13.cv2.conv,44,30.927021026611328,31,1255393,386,1255007,8,2049,49.96164411962888
DG005,model.13.cv2.conv,14,30.929471969604492,31,1255007,386,1254621,8,2050,49.97703431695035
DG031,model.6.cv2.conv,0,30.934213638305664,31,1254621,2527,1252094,6,2051,50.077788277135184
DG036,model.7.conv,53,28.415773391723633,31,1252094,510,1251584,4,2052,50.09812247566874
DG036,model.7.conv,99,29.784671783447266,31,1251584,510,1251074,4,2053,50.118456674202285
DG036,model.7.conv,26,30.36453628540039,31,1251074,510,1250564,4,2054,50.138790872735825
DG036,model.7.conv,69,30.504451751708984,31,1250564,510,1250054,4,2055,50.15912507126937
DG036,model.7.conv,84,30.774160385131836,31,1250054,510,1249544,4,2056,50.17945926980292
DG031,model.6.cv2.conv,22,30.936676025390625,31,1249544,2482,1247062,6,2057,50.2784190359995
DG036,model.7.conv,57,29.849592208862305,31,1247062,501,1246561,4,2058,50.2983943957354
DG036,model.7.conv,237,30.067596435546875,31,1246561,501,1246060,4,2059,50.318369755471295
DG036,model.7.conv,3,30.131696701049805,31,1246060,501,1245559,4,2060,50.33834511520718
DG036,model.7.conv,158,30.1890869140625,31,1245559,501,1245058,4,2061,50.358320474943085
