rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_R4
27,25.0,CDG009,CUSTOM,model.22,0.29238744923632365,0.2707632410481525,0.021624208188171123,0.07395737486219268,0.07395737486219268,0.2556081270327769,0.2283738432296433,0.027234283803133613,0.10654701835689806,0.10654701835689806,0.0848205893604278
28,25.0,DG023,GENERIC,model.20.conv,0.29238744923632365,0.2682571199808389,0.02413032925548475,0.08252860825083258,0.08252860825083258,0.2556081270327769,0.2320010050157953,0.02360712201698162,0.09235669573978159,0.09235669573978159,0.08580463741381558
29,25.0,DG036,GENERIC,model.7.conv,0.29238744923632365,0.2617013379245442,0.03068611131177945,0.10495016592513602,0.10495016592513602,0.2556081270327769,0.24223609123172243,0.013372035801054477,0.052314595612759085,0.052314595612759085,0.08740497582101038
30,25.0,DG005,GENERIC,model.13.cv2.conv,0.29238744923632365,0.26181781823039896,0.03056963100592469,0.10455178936636446,0.10455178936636446,0.2556081270327769,0.2284032887926455,0.027204838240131424,0.10643182028653932,0.10643182028653932,0.10517846633975608
31,25.0,DG021,GENERIC,model.2.cv2.conv,0.29238744923632365,0.25438140472842385,0.038006044507899794,0.1299852117700894,0.1299852117700894,0.2556081270327769,0.2338000434613636,0.02180808357141331,0.08531842795677946,0.08531842795677946,0.11509628383231942
32,25.0,DG037,GENERIC,model.8.cv2.conv,0.29238744923632365,0.2585370651917778,0.03385038404454582,0.11577235662118342,0.11577235662118342,0.2556081270327769,0.22445596414455846,0.031152162888218454,0.12187469643413873,0.12187469643413873,0.11780646989216852
33,25.0,DG024,GENERIC,model.22.cv2.conv,0.29238744923632365,0.24743086028559785,0.044956588950725795,0.15375690395790348,0.15375690395790348,0.2556081270327769,0.223251255752756,0.032356871280020905,0.12658780319559929,0.12658780319559929,0.14470053703713542
34,25.0,DG015,GENERIC,model.17.conv,0.29238744923632365,0.24663841882266974,0.04574903041365391,0.15646714841264278,0.15646714841264278,0.2556081270327769,0.22016339476109242,0.03544473227168449,0.13866825238752822,0.13866825238752822,0.1505341830709379
35,25.0,CDG006,CUSTOM,model.13,0.29238744923632365,0.24791080779367947,0.04447664144264418,0.1521154261539308,0.1521154261539308,0.2556081270327769,0.2160752729119153,0.039532854120861605,0.15466196079044178,0.15466196079044178,0.1529642710327678
36,25.0,DG017,GENERIC,model.19.m.0.cv1.conv,0.29238744923632365,0.2444319643489264,0.04795548488739726,0.16401348625821827,0.16401348625821827,0.2556081270327769,0.2139651242239676,0.04164300280880931,0.16291736609559906,0.16291736609559906,0.16364811287067854
37,25.0,DG031,GENERIC,model.6.cv2.conv,0.29238744923632365,0.23562474273672243,0.05676270649960122,0.19413523613225434,0.19413523613225434,0.2556081270327769,0.22457395357340115,0.031034173459375758,0.12141309362748162,0.12141309362748162,0.16989452196399676
38,25.0,CDG003,CUSTOM,model.6,0.29238744923632365,0.23279732549051532,0.05959012374580833,0.20380534082926488,0.20380534082926488,0.2556081270327769,0.21695334518855744,0.03865478184421947,0.15122673247107954,0.15122673247107954,0.18627913804320312
39,25.0,DG006,GENERIC,model.13.m.0.cv1.conv,0.29238744923632365,0.2393108553082936,0.05307659392803005,0.1815282908574185,0.1815282908574185,0.2556081270327769,0.20135039388223205,0.05425773315054486,0.21226920200227956,0.21226920200227956,0.19177526123903887
40,25.0,DG032,GENERIC,model.6.m.0.cv1.conv,0.29238744923632365,0.2276068884203293,0.06478056081599434,0.2215572555702797,0.2215572555702797,0.2556081270327769,0.1892534169827273,0.06635471005004961,0.2595954628685999,0.2595954628685999,0.2342366580030531
41,25.0,DG002,GENERIC,model.1.conv,0.29238744923632365,0.2271520541956396,0.06523539504068404,0.22311284294544803,0.22311284294544803,0.2556081270327769,0.1862373905701988,0.0693707364625781,0.2713948780418966,0.2713948780418966,0.23920685464426422
42,25.0,DG028,GENERIC,model.4.cv2.conv,0.29238744923632365,0.21235420603403063,0.08003324320229302,0.2737232511563988,0.2737232511563988,0.2556081270327769,0.2038036399165401,0.05180448711623681,0.20267151798969937,0.20267151798969937,0.2500393401008323
43,25.0,DG010,GENERIC,model.16.cv2.conv,0.29238744923632365,0.20373144050532935,0.0886560087309943,0.3032141391928818,0.3032141391928818,0.2556081270327769,0.20640834815660566,0.049199778876171246,0.19248127767808534,0.19248127767808534,0.26630318535461633
44,25.0,CDG008,CUSTOM,model.19,0.29238744923632365,0.1990906148343455,0.09329683440197814,0.3190863173014328,0.3190863173014328,0.2556081270327769,0.2023176532634804,0.05329047376929652,0.2084850524430431,0.2084850524430431,0.2822192290153029
45,25.0,DG030,GENERIC,model.5.conv,0.29238744923632365,0.15927367062427072,0.13311377861205292,0.4552650223521155,0.4552650223521155,0.2556081270327769,0.18960398236671888,0.06600414466605803,0.2582239674155362,0.2582239674155362,0.3895846707065891
46,25.0,DG011,GENERIC,model.16.m.0.cv1.conv,0.29238744923632365,0.15944119727609368,0.13294625196022997,0.4546920611930079,0.4546920611930079,0.2556081270327769,0.1823599610077171,0.07324816602505982,0.28656430793245913,0.28656430793245913,0.39864947677282503
47,25.0,CDG001,CUSTOM,model.2,0.29238744923632365,0.12308238965909277,0.16930505957723088,0.579043526045433,0.579043526045433,0.2556081270327769,0.15110590435735236,0.10450222267542456,0.40883763708351933,0.40883763708351933,0.5223082297247951
48,25.0,CDG007,CUSTOM,model.16,0.29238744923632365,0.11024277998401194,0.1821446692523117,0.6229565247347274,0.6229565247347274,0.2556081270327769,0.11790626543302095,0.13770186159975595,0.5387225484504969,0.5387225484504969,0.5948785326399839
49,25.0,DG016,GENERIC,model.19.cv2.conv,0.29238744923632365,0.07486203149680833,0.21752541773951534,0.7439629105410038,0.7439629105410038,0.2556081270327769,0.156520920003478,0.09908720702929891,0.38765280345171826,0.38765280345171826,0.6251928748445753
50,25.0,DG027,GENERIC,model.3.conv,0.29238744923632365,0.0,0.29238744923632365,1.0,1.0,0.2556081270327769,0.1873837038774833,0.06822442315529362,0.26691022678846643,0.26691022678846643,0.7556367422628221
51,25.0,CDG002,CUSTOM,model.4,0.29238744923632365,0.022864686460462372,0.2695227627758613,0.9218000412802198,0.9218000412802198,0.2556081270327769,0.03414652060677184,0.22146160642600507,0.8664106614951519,0.8664106614951519,0.9033369146851971
