rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_GEN_PROTECTED
35,37.5,CDG006,CUSTOM,model.13,0.29238744923632365,0.21112370752221385,0.0812637417141098,0.27793170304115195,0.27793170304115195,0.2556081270327769,0.19140234371051815,0.06420578332225876,0.25118834861626127,0.25118834861626127,0.27793170304115195
36,37.5,DG017,GENERIC,model.19.m.0.cv1.conv,0.29238744923632365,0.20315381748915504,0.08923363174716861,0.30518967890117976,0.30518967890117976,0.2556081270327769,0.1908335323033903,0.0647745947293866,0.25341367460151404,0.25341367460151404,0.30518967890117976
37,37.5,DG032,GENERIC,model.6.m.0.cv1.conv,0.29238744923632365,0.2200505981972425,0.07233685103908116,0.24740067067863278,0.24740067067863278,0.2556081270327769,0.15476872049532597,0.10083940653745094,0.39450782613230523,0.39450782613230523,0.320954248405469
38,37.5,CDG003,CUSTOM,model.6,0.29238744923632365,0.1967250232491319,0.09566242598719174,0.3271769230760384,0.3271769230760384,0.2556081270327769,0.17055896375087312,0.08504916328190379,0.3327326257940063,0.3327326257940063,0.32995477443502236
39,37.5,DG010,GENERIC,model.16.cv2.conv,0.29238744923632365,0.19048146611273664,0.10190598312358701,0.3485306342312285,0.3485306342312285,0.2556081270327769,0.19669771296568006,0.05891041406709685,0.2304716002224088,0.2304716002224088,0.3485306342312285
40,37.5,DG031,GENERIC,model.6.cv2.conv,0.29238744923632365,0.18705554118076603,0.10533190805555762,0.36024770670105805,0.36024770670105805,0.2556081270327769,0.21359525541589602,0.04201287161688089,0.1643643811508917,0.1643643811508917,0.36024770670105805
41,37.5,DG002,GENERIC,model.1.conv,0.29238744923632365,0.19344099212757712,0.09894645710874653,0.33840870176603427,0.33840870176603427,0.2556081270327769,0.1375633309652623,0.11804479606751461,0.4618194164553211,0.4618194164553211,0.40011405911067766
42,37.5,DG011,GENERIC,model.16.m.0.cv1.conv,0.29238744923632365,0.1346724425490123,0.15771500668731134,0.5394041608121057,0.5394041608121057,0.2556081270327769,0.13879599813335172,0.11681212889942519,0.4569969282879892,0.4569969282879892,0.5394041608121057
43,37.5,CDG008,CUSTOM,model.19,0.29238744923632365,0.1313156363516886,0.16107181288463504,0.5508848389536991,0.5508848389536991,0.2556081270327769,0.12793072891785345,0.12767739811492346,0.4995044547177142,0.4995044547177142,0.5508848389536991
44,37.5,DG021,GENERIC,model.2.cv2.conv,0.29238744923632365,0.12874426063704048,0.16364318859928317,0.5596792510304289,0.5596792510304289,0.2556081270327769,0.20750424316322336,0.048103883869553554,0.18819387485040778,0.18819387485040778,0.5596792510304289
45,37.5,DG028,GENERIC,model.4.cv2.conv,0.29238744923632365,0.11033624278377929,0.18205120645254436,0.622636870796053,0.622636870796053,0.2556081270327769,0.16808783602418123,0.08752029100859568,0.3424002672550895,0.3424002672550895,0.622636870796053
46,37.5,DG030,GENERIC,model.5.conv,0.29238744923632365,0.09957395809589967,0.19281349114042398,0.6594451699073495,0.6594451699073495,0.2556081270327769,0.18216709020643637,0.07344103682634054,0.28731886454034034,0.28731886454034034,0.6594451699073495
47,37.5,CDG001,CUSTOM,model.2,0.29238744923632365,0.08610914210726937,0.20627830712905426,0.705496448865453,0.705496448865453,0.2556081270327769,0.07402012117183118,0.18158800586094573,0.7104156192876468,0.7104156192876468,0.70795603407655
48,37.5,DG016,GENERIC,model.19.cv2.conv,0.29238744923632365,0.08248237806574643,0.20990507117057722,0.717900415078762,0.717900415078762,0.2556081270327769,0.122372209685171,0.13323591734760593,0.5212507086307194,0.5212507086307194,0.717900415078762
49,37.5,CDG007,CUSTOM,model.16,0.29238744923632365,0.05817483202800241,0.23421261720832123,0.8010351258922119,0.8010351258922119,0.2556081270327769,0.08650881999141329,0.1690993070413636,0.6615568487760948,0.6615568487760948,0.8010351258922119
50,37.5,CDG002,CUSTOM,model.4,0.29238744923632365,0.00011284373512024586,0.2922746055012034,0.999614060947503,0.999614060947503,0.2556081270327769,0.006943594431875876,0.24866453260090104,0.9728350013261297,0.9728350013261297,0.999614060947503
51,37.5,DG027,GENERIC,model.3.conv,0.29238744923632365,0.0,0.29238744923632365,1.0,1.0,0.2556081270327769,0.1570443939771443,0.09856373305563262,0.3856048483270397,0.3856048483270397,1.0
