pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,8,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p20/yolo26n_l2_layer_8_amt_0p20.pt,val,4.726157,2376981,69251,2.913401,0.274723,0.374931,0.231909,0.315125,0.248164,0.991794,0.042738,1.282697,779.607423,8,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,8,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p30/yolo26n_l2_layer_8_amt_0p30.pt,val,4.726157,2376981,102787,4.324267,0.188353,0.256566,0.318280,0.433490,0.246465,0.971650,0.039050,1.257166,795.440049,8,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,8,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p40/yolo26n_l2_layer_8_amt_0p40.pt,val,4.726157,2376981,138371,5.821292,0.134124,0.182907,0.372508,0.507148,0.254636,0.972247,0.059588,1.286471,777.320247,8,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,8,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p50/yolo26n_l2_layer_8_amt_0p50.pt,val,4.726157,2376981,172035,7.237542,0.118231,0.166892,0.388401,0.523163,0.249749,0.981590,0.064683,1.296021,771.592160,8,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p05/yolo26n_l2_layer_9_amt_0p05.pt,val,4.726157,2376981,8195,0.344765,0.490896,0.671055,0.015737,0.019000,0.297399,0.974851,0.073025,1.345275,743.342356,9,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p10/yolo26n_l2_layer_9_amt_0p10.pt,val,4.726157,2376981,16643,0.700174,0.470803,0.642084,0.035829,0.047972,0.279782,0.996324,0.096352,1.372458,728.619939,9,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p20/yolo26n_l2_layer_9_amt_0p20.pt,val,4.726157,2376981,32771,1.378682,0.347086,0.483269,0.159546,0.206786,0.249478,0.982076,0.065338,1.296892,771.074114,9,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p30/yolo26n_l2_layer_9_amt_0p30.pt,val,4.726157,2376981,49155,2.067959,0.278432,0.390882,0.228201,0.299173,0.258555,0.997747,0.096274,1.352576,739.329910,9,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p40/yolo26n_l2_layer_9_amt_0p40.pt,val,4.726157,2376981,65283,2.746467,0.264586,0.370586,0.242047,0.319469,0.250204,0.979408,0.057052,1.286664,777.203408,9,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,9,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p50/yolo26n_l2_layer_9_amt_0p50.pt,val,4.726157,2376981,81923,3.446515,0.254151,0.357967,0.252482,0.332088,0.251423,1.004915,0.056208,1.312546,761.878287,9,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p05/yolo26n_l2_layer_10_amt_0p05.pt,val,4.726361,2376981,12345,0.519356,0.489093,0.671069,0.017540,0.018986,0.259449,0.971431,0.042940,1.273820,785.040297,10,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p10/yolo26n_l2_layer_10_amt_0p10.pt,val,4.726361,2376981,25080,1.055120,0.466356,0.637345,0.040276,0.052710,0.246844,0.992267,0.091068,1.330179,751.778373,10,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p20/yolo26n_l2_layer_10_amt_0p20.pt,val,4.726361,2376981,49389,2.077804,0.387412,0.537850,0.119220,0.152205,0.262857,0.985496,0.083537,1.331890,750.812989,10,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p30/yolo26n_l2_layer_10_amt_0p30.pt,val,4.726361,2376981,74073,3.116264,0.274764,0.387069,0.231868,0.302986,0.243120,0.985480,0.069081,1.297682,770.605084,10,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p40/yolo26n_l2_layer_10_amt_0p40.pt,val,4.726361,2376981,98382,4.138948,0.235953,0.340363,0.270679,0.349692,0.280889,0.998807,0.069294,1.348990,741.295332,10,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,10,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p50/yolo26n_l2_layer_10_amt_0p50.pt,val,4.726361,2376981,123459,5.193941,0.200276,0.291494,0.306357,0.398561,0.303944,0.982916,0.070018,1.356878,736.985732,10,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,13,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p05/yolo26n_l2_layer_13_amt_0p05.pt,val,4.726361,2376981,6211,0.261298,0.483315,0.656596,0.023317,0.033460,0.261359,0.983458,0.077487,1.322305,756.255112,13,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,13,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p10/yolo26n_l2_layer_13_amt_0p10.pt,val,4.726361,2376981,11715,0.492852,0.470154,0.638727,0.036479,0.051328,0.249616,0.971842,0.042737,1.264195,791.017048,13,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,13,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p20/yolo26n_l2_layer_13_amt_0p20.pt,val,4.726361,2376981,23491,0.988270,0.335626,0.466810,0.171007,0.223245,0.249041,0.984125,0.062027,1.295193,772.085566,13,0.2,mask-based structured pruning; architecture shape unchanged
