epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4631.24,1.05061,0.60973,0.00402,0.69949,0.66962,0.68678,0.50525,1.0421,0.70933,0.00516,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4689.21,1.04018,0.59214,0.00403,0.69296,0.67592,0.69029,0.50346,1.04237,0.70976,0.00516,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4747.03,1.03498,0.58656,0.004,0.68684,0.67878,0.68185,0.50106,1.04267,0.71128,0.00518,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4805.16,1.03617,0.5885,0.00403,0.72803,0.66096,0.68831,0.50222,1.0419,0.71168,0.00517,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4863.26,1.02689,0.57448,0.00395,0.72289,0.65255,0.68723,0.50422,1.04092,0.71467,0.00515,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4921.28,1.02577,0.57302,0.00392,0.73404,0.6392,0.68843,0.50443,1.04234,0.71682,0.00516,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4979.4,1.03116,0.58297,0.00393,0.72993,0.64771,0.68987,0.50663,1.04288,0.71831,0.00515,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5037.34,1.01781,0.56346,0.0039,0.70681,0.65357,0.68884,0.50614,1.04332,0.71885,0.00516,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5095.28,1.01839,0.56814,0.00392,0.74427,0.63974,0.68791,0.5048,1.04237,0.71949,0.00514,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5153.33,1.0109,0.55902,0.00393,0.7316,0.63812,0.68475,0.50213,1.04346,0.72163,0.00515,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5211.38,1.01632,0.56041,0.0039,0.67572,0.67355,0.68432,0.50172,1.04364,0.72098,0.00514,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5269.5,1.01118,0.55489,0.00388,0.67728,0.68047,0.68755,0.50389,1.04236,0.7248,0.00514,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
