step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
576,39,DG016,model.19.cv2.conv,29,4.254318714141846,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,40,DG010,model.16.cv2.conv,26,4.300411224365234,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,41,DG010,model.16.cv2.conv,22,4.319063186645508,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,42,DG016,model.19.cv2.conv,17,4.359996318817139,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,43,DG010,model.16.cv2.conv,47,4.3794684410095215,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,44,DG010,model.16.cv2.conv,38,4.391007423400879,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,45,DG016,model.19.cv2.conv,121,4.413146018981934,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,46,DG016,model.19.cv2.conv,38,4.418858528137207,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,47,DG010,model.16.cv2.conv,19,4.474786281585693,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,48,DG016,model.19.cv2.conv,80,4.526986122131348,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,49,DG010,model.16.cv2.conv,57,4.542296409606934,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,50,DG016,model.19.cv2.conv,114,4.552467346191406,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,51,DG016,model.19.cv2.conv,72,4.5709075927734375,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,52,DG016,model.19.cv2.conv,37,4.576030254364014,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,53,DG016,model.19.cv2.conv,93,4.59732723236084,128,64,would prune protected output root model.23.cv3.1.0.0.conv
