pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,"20,10,6,13,22",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_13_22_amt_0p20/yolo26n_l2_combo_20_10_6_13_22_amt_0p20.pt,val,4.729522,2376981,212055,8.921190,0.026152,0.052662,0.480481,0.637393,0.253889,0.985517,0.041895,1.281300,780.457151,"20,10,6,13,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,13,22",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_13_22_amt_0p20/yolo26n_l2_combo_10_6_13_22_amt_0p20.pt,val,4.728055,2376981,182103,7.661105,0.026150,0.052660,0.480482,0.637395,0.269424,0.990601,0.046543,1.306569,765.363581,"10,6,13,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_16_amt_0p20/yolo26n_l2_combo_10_6_16_amt_0p20.pt,val,4.727443,2376981,72909,3.067294,0.005590,0.007277,0.501043,0.682778,0.288367,0.991547,0.073749,1.353662,738.736814,"10,6,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_16_amt_0p20/yolo26n_l2_combo_20_10_6_16_amt_0p20.pt,val,4.728055,2376981,102861,4.327380,0.004643,0.005942,0.501989,0.684113,0.258726,0.990924,0.067642,1.317291,759.133455,"20,10,6,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,22,16",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_22_16_amt_0p20/yolo26n_l2_combo_20_10_6_22_16_amt_0p20.pt,val,4.729522,2376981,195255,8.214411,0.003774,0.004701,0.502858,0.685354,0.325970,0.972923,0.041333,1.340225,746.143104,"20,10,6,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,22,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_22_16_amt_0p20/yolo26n_l2_combo_10_6_22_16_amt_0p20.pt,val,4.728055,2376981,165303,6.954326,0.003774,0.004701,0.502858,0.685354,0.273119,0.994019,0.061471,1.328609,752.666663,"10,6,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,13,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_13_16_amt_0p20/yolo26n_l2_combo_10_13_16_amt_0p20.pt,val,4.727647,2376981,79565,3.347313,0.002530,0.009091,0.504102,0.680964,0.270912,0.993291,0.042500,1.306703,765.285092,"10,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,13,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_13_16_amt_0p20/yolo26n_l2_combo_20_10_13_16_amt_0p20.pt,val,4.728259,2376981,109517,4.607399,0.002467,0.008727,0.504166,0.681328,0.298620,0.987721,0.042773,1.329115,752.380492,"20,10,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,13,22,16",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_13_22_16_amt_0p20/yolo26n_l2_combo_20_10_13_22_16_amt_0p20.pt,val,4.729848,2376981,201911,8.494431,0.002451,0.008695,0.504181,0.681361,0.326345,0.999084,0.041481,1.366909,731.577386,"20,10,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,13,22,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_13_22_16_amt_0p20/yolo26n_l2_combo_10_13_22_16_amt_0p20.pt,val,4.728259,2376981,171959,7.234345,0.002439,0.008636,0.504193,0.681419,0.313539,0.996266,0.039896,1.349701,740.904857,"10,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_16_amt_0p20/yolo26n_l2_combo_20_6_16_amt_0p20.pt,val,4.727382,2376981,53475,2.249702,0.001724,0.003713,0.504908,0.686342,0.269395,0.991600,0.048749,1.309745,763.507635,"20,6,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,16",2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_16_amt_0p20/yolo26n_l2_combo_6_16_amt_0p20.pt,val,4.726769,2376981,23523,0.989617,0.001475,0.002623,0.505157,0.687433,0.259342,0.993766,0.057057,1.310165,763.262594,"6,16",0.2,mask-based structured pruning; architecture shape unchanged
