pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,1,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p40/yolo26n_l1_layer_1_amt_0p40.pt,val,4.726157,2376981,1846,0.077662,0.491060,0.674672,0.015572,0.015383,0.293099,1.000219,0.071352,1.364670,732.778152,1,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,1,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p50/yolo26n_l1_layer_1_amt_0p50.pt,val,4.726157,2376981,2307,0.097056,0.487480,0.669459,0.019153,0.020596,0.282077,0.990768,0.061010,1.333854,749.707008,1,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p05/yolo26n_l1_layer_2_amt_0p05.pt,val,4.726157,2376981,324,0.013631,0.506327,0.689906,0.000305,0.000149,0.252985,0.990436,0.092294,1.335715,748.662452,2,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p10/yolo26n_l1_layer_2_amt_0p10.pt,val,4.726157,2376981,642,0.027009,0.507141,0.690451,-0.000508,-0.000395,0.257329,1.012387,0.081986,1.351702,739.807796,2,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p20/yolo26n_l1_layer_2_amt_0p20.pt,val,4.726157,2376981,1282,0.053934,0.504625,0.688104,0.002008,0.001951,0.266000,0.983947,0.079755,1.329702,752.048237,2,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p30/yolo26n_l1_layer_2_amt_0p30.pt,val,4.726157,2376981,1924,0.080943,0.506395,0.687983,0.000237,0.002073,0.267156,0.981804,0.068854,1.317814,758.832184,2,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p40/yolo26n_l1_layer_2_amt_0p40.pt,val,4.726157,2376981,2564,0.107868,0.498702,0.681062,0.007931,0.008993,0.256677,0.971865,0.042513,1.271054,786.748577,2,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,2,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p50/yolo26n_l1_layer_2_amt_0p50.pt,val,4.726157,2376981,3203,0.134751,0.450857,0.625369,0.055775,0.064686,0.255241,0.981701,0.073240,1.310181,763.253123,2,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p05/yolo26n_l1_layer_3_amt_0p05.pt,val,4.726157,2376981,1846,0.077662,0.507050,0.690171,-0.000418,-0.000115,0.283304,0.972362,0.045690,1.301357,768.428834,3,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p10/yolo26n_l1_layer_3_amt_0p10.pt,val,4.726157,2376981,3689,0.155197,0.506349,0.689183,0.000284,0.000872,0.275974,1.000739,0.087383,1.364096,733.086304,3,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p20/yolo26n_l1_layer_3_amt_0p20.pt,val,4.726157,2376981,7376,0.310310,0.508054,0.690446,-0.001421,-0.000391,0.275192,1.007586,0.060200,1.342978,744.613782,3,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p30/yolo26n_l1_layer_3_amt_0p30.pt,val,4.726157,2376981,11062,0.465380,0.509733,0.692400,-0.003101,-0.002345,0.278512,0.982811,0.052695,1.314018,761.024458,3,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p40/yolo26n_l1_layer_3_amt_0p40.pt,val,4.726157,2376981,14749,0.620493,0.509804,0.696820,-0.003172,-0.006765,0.260875,0.995833,0.070782,1.327490,753.301354,3,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,3,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p50/yolo26n_l1_layer_3_amt_0p50.pt,val,4.726157,2376981,18435,0.775564,0.508698,0.695688,-0.002065,-0.005632,0.279444,0.986084,0.075421,1.340949,745.740603,3,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,4,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p05/yolo26n_l1_layer_4_amt_0p05.pt,val,4.726157,2376981,1282,0.053934,0.506987,0.690078,-0.000354,-0.000023,0.238803,0.981979,0.072203,1.292984,773.404747,4,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
